x,Curve1
992.783,-84.7953
994.452,-70.1754
996.4,-59.9415
998.904,-43.8596
1002.24,-32.1637
1004.47,-14.6199
1009.76,7.30994
1012.54,21.9298
1014.49,29.2398
1017.69,42.3977
1019.91,46.7836
1022.7,57.0175
1024.92,61.4035
1027.15,68.7135
1029.51,76.0234
1032.43,90.6433
1036.89,96.4912
1040.09,99.4152
1042.87,105.263
1045.23,108.187
1048.16,115.497
1050.66,119.883
1052.61,122.807
1055.25,124.269
1058.03,124.269
1060.54,125.731
1062.63,131.579
1065.13,130.117
1067.36,133.041
1069.72,134.503
1072.78,133.041
1075.43,131.579
1077.51,137.427
1080.43,140.351
1082.66,138.889
1084.61,138.889
1087.53,149.123
1090.73,152.047
1092.68,156.433
1095.18,159.357
1098.1,166.667
1100.05,168.129
1102.42,173.977
1107.15,187.135
1109.65,198.83
1112.71,210.526
1115.08,217.836
1117.17,230.994
1119.81,239.766
1122.17,255.848
1124.82,270.468
1128.3,298.246
1130.24,312.865
1132.19,330.409
1134,345.029
1135.53,358.187
1138.03,381.579
1140.26,407.895
1141.79,428.363
1144.02,448.83
1144.99,461.988
1146.66,485.38
