x,Curve1
1001.12,-38.6778
1007.01,-37.9344
1013.89,-37.3762
1020.77,-36.6325
1025.68,-36.0747
1030.6,-35.517
1038.46,-34.7731
1044.35,-34.0296
1050.25,-33.2861
1055.16,-32.7284
1062.04,-32.1702
1067.94,-31.2412
1073.84,-30.3122
1079.73,-29.7542
1084.65,-29.011
1090.54,-28.2675
1097.42,-27.7093
1103.32,-26.7803
1108.24,-26.0371
1114.13,-25.2936
1118.06,-24.7361
1124.94,-23.9924
1128.87,-23.4349
1135.75,-22.6912
1141.65,-21.9477
1148.53,-21.204
1155.41,-20.2747
1161.3,-19.7168
1166.22,-19.159
1171.13,-18.4158
1178.99,-17.6718
1183.91,-16.9286
1189.8,-16.3706
1195.7,-15.6272
1201.59,-15.0692
1208.47,-14.3255
1214.37,-13.582
1220.26,-13.0241
1225.18,-12.0953
1231.08,-11.5373
1238.94,-10.9789
1243.85,-10.2357
1249.75,-9.6777
1255.64,-9.11975
1261.54,-8.37627
1269.4,-7.81786
1276.27,-7.07415
1282.17,-6.51619
1288.06,-5.95824
1293.96,-5.40029
1301.82,-4.84188
1307.71,-4.0984
1314.59,-3.54022
1320.49,-2.98226
1327.36,-2.42408
1332.28,-1.86636
1341.11,-1.49325
1345.05,-0.93575
1350.94,-0.563326
1357.82,-0.00514474
1364.69,0.738565
1371.57,1.11122
1378.44,1.48387
1383.36,1.85607
1392.2,2.4147
1399.07,2.97288
1405.95,3.53106
1411.84,3.90349
1417.74,4.27591
1425.59,4.64879
1430.51,5.20652
1438.36,5.5794
1444.25,5.95182
1453.09,6.51046
1464.88,7.06978
1474.7,7.81417
1480.6,8.18659
1487.47,8.37372
1494.35,8.9319
1501.22,9.30455
1507.11,9.30592
1515.95,9.86455
1520.86,10.2367
1529.7,10.6099
1534.61,10.611
1542.47,11.3549
1550.32,11.5423
1556.21,11.7292
1563.09,11.9163
1570.94,12.2892
1576.83,12.4761
1584.69,12.849
1591.57,13.2216
1598.44,13.4087
1603.35,13.5954
1612.19,13.9685
1619.06,14.1556
1625.93,14.3427
1632.81,14.7154
1640.66,14.7172
1645.57,14.9039
1652.44,15.2765
1661.28,15.4641
1668.15,15.6512
1674.05,15.8381
1682.88,16.0257
1688.77,16.2126
