x,Curve1
598.824,-244.708
604.8,-239.957
609.582,-234.017
613.169,-228.672
617.95,-223.326
622.732,-217.387
626.319,-212.041
631.1,-206.695
635.882,-200.756
639.469,-195.41
644.251,-190.065
649.032,-184.719
652.619,-178.78
657.401,-173.434
662.182,-168.089
666.964,-162.743
671.745,-157.397
676.527,-151.458
682.503,-146.112
687.284,-141.361
693.26,-136.015
698.042,-130.67
704.018,-125.324
708.799,-119.978
714.775,-114.633
720.751,-109.287
726.727,-104.536
732.703,-99.1901
739.873,-94.4384
745.849,-89.6868
753.019,-84.9352
760.19,-79.5896
768.554,-75.432
775.724,-70.6803
782.894,-66.5227
791.259,-61.7711
799.623,-57.6134
809.182,-53.4557
817.546,-49.892
827.105,-45.7343
836.663,-42.7646
846.221,-39.2009
855.78,-36.2311
866.532,-33.2613
877.285,-30.8855
888.037,-27.9158
898.79,-25.54
910.736,-23.7581
921.488,-21.9762
933.435,-20.1944
944.187,-18.4125
953.743,-17.8186
957.327,-17.8186
968.079,-16.0367
983.609,-13.6609
995.555,-13.067
1000.33,-12.473
1012.28,-12.473
1024.22,-12.473
1036.17,-12.473
1048.11,-13.067
1060.06,-13.6609
1070.81,-14.2549
1082.75,-15.4428
1093.51,-16.6307
1105.45,-17.8186
1116.2,-19.0065
1128.14,-20.1944
1138.89,-21.3823
1150.84,-23.1641
1161.59,-24.3521
1173.53,-26.1339
1185.48,-27.3218
1196.23,-29.1037
1208.17,-30.2916
1218.92,-32.0734
1230.87,-33.2613
1241.62,-35.0432
1253.56,-36.2311
1264.31,-38.013
1276.26,-39.2009
1287.01,-40.9827
1298.95,-42.1706
1309.7,-43.9525
