x,Curve1
603.738,-165.946
606.355,-162.703
609.346,-158.919
611.963,-155.135
614.579,-151.351
617.196,-147.568
619.813,-144.324
622.43,-140.541
625.047,-136.757
627.664,-133.514
630.654,-129.73
633.271,-125.946
635.888,-122.162
638.505,-118.919
641.495,-115.135
644.112,-111.351
647.103,-107.568
649.72,-104.324
652.336,-101.081
655.327,-96.7568
657.944,-94.0541
660.935,-89.7297
663.551,-87.027
666.542,-83.2432
669.159,-80
672.15,-76.2162
675.14,-72.973
678.131,-69.7297
680.748,-66.4865
683.738,-63.2432
686.729,-60
689.72,-56.7568
692.71,-53.5135
695.701,-50.2703
698.692,-47.027
701.682,-44.3243
704.673,-41.0811
708.037,-38.3784
711.028,-35.1351
714.019,-32.4324
717.383,-29.1892
720.374,-26.4865
723.738,-23.7838
726.729,-20.5405
730.093,-17.8378
733.084,-15.6757
736.449,-12.973
739.813,-10.2703
743.178,-7.56757
746.168,-4.86486
749.533,-2.16216
752.897,-0.540541
756.262,2.16216
759.626,4.86486
762.991,7.02703
766.355,9.18919
769.72,11.3514
773.084,13.5135
776.822,15.6757
780.187,17.8378
783.551,19.4595
786.916,21.6216
790.654,23.7838
794.019,25.4054
797.383,27.5676
801.121,29.1892
804.486,30.8108
807.85,32.4324
811.589,34.0541
814.953,35.6757
818.692,37.2973
822.056,38.9189
825.794,40.5405
829.159,41.6216
832.897,43.2432
836.262,44.8649
840,45.9459
843.364,47.5676
847.103,48.1081
850.467,49.7297
854.206,50.8108
857.57,51.8919
861.308,52.973
864.673,54.0541
868.411,55.1351
872.15,55.6757
875.514,56.7568
879.252,57.8378
882.617,58.9189
886.355,59.4595
890.093,60.5405
893.458,61.0811
897.196,62.1622
900.935,62.7027
904.299,63.2432
908.037,63.7838
911.776,64.8649
915.14,65.4054
918.879,65.9459
922.617,66.4865
926.355,67.027
930.093,67.5676
933.458,68.1081
937.196,68.6486
940.935,69.1892
944.673,69.1892
948.411,69.7297
951.776,70.2703
955.514,70.8108
959.252,70.8108
962.991,71.3514
966.729,71.8919
970.467,71.8919
973.832,72.4324
977.57,72.4324
981.308,72.973
985.047,72.973
988.785,72.973
992.523,73.5135
996.262,73.5135
1000,73.5135
