x,Curve1
800.505,-67.5
804.38,-66.1364
807.698,-64.3182
811.018,-62.7273
814.337,-60.9091
818.211,-59.3182
821.53,-57.7273
825.404,-55.9091
828.724,-54.5455
832.043,-52.7273
835.917,-51.1364
839.791,-49.5455
843.11,-47.9545
846.43,-46.3636
850.858,-44.7727
854.178,-43.1818
858.053,-41.8182
861.372,-40.2273
865.247,-38.8636
869.121,-37.2727
872.995,-35.6818
876.869,-34.0909
880.744,-32.7273
884.619,-31.3636
888.493,-29.7727
892.368,-28.4091
896.243,-27.0455
900.118,-25.6818
903.992,-24.3182
907.866,-22.7273
912.296,-21.3636
916.17,-20
920.6,-18.6364
924.474,-17.2727
928.904,-15.9091
933.333,-14.5455
937.762,-13.1818
941.638,-12.0455
946.067,-10.6818
950.496,-9.31818
954.371,-7.95455
958.801,-6.81818
963.23,-5.45455
967.66,-4.31818
972.644,-2.95455
977.074,-1.81818
981.504,-0.681818
985.934,0.454545
990.364,1.59091
994.793,2.95455
999.778,4.09091
1004.21,5.22727
1008.64,6.36364
1013.07,7.27273
1017.5,8.40909
1022.48,9.54545
1027.47,10.4545
1032.45,11.5909
1037.44,12.7273
1042.42,13.6364
1046.85,14.7727
1051.84,15.6818
1056.82,16.5909
1061.81,17.7273
1066.79,18.6364
1071.78,19.5455
1076.76,20.4545
1081.75,21.3636
1086.73,22.2727
1091.72,23.1818
1097.26,24.0909
1102.25,25
1107.23,25.9091
1112.22,26.5909
1117.76,27.5
1122.74,28.1818
1127.73,29.0909
1132.71,29.7727
1137.7,30.6818
1142.69,31.3636
1148.23,32.0455
1153.21,32.7273
1158.2,33.4091
1163.74,34.0909
1168.72,35
1174.27,35.4545
1179.25,36.1364
1184.79,36.8182
1189.78,37.5
1195.32,38.1818
1200.31,38.8636
1205.85,39.3182
1210.83,40
1216.37,40.4545
1221.36,41.1364
1226.9,41.8182
1231.89,42.2727
1237.43,42.7273
1242.42,43.1818
1247.4,43.8636
1252.94,44.3182
1258.49,45
1263.47,45.4545
1269.01,45.9091
1274,46.3636
1279.54,46.8182
1285.08,47.2727
1290.07,47.9545
1295.61,48.4091
1300.6,48.8636
